section,row_number,audit_version,audit_url,audit_title,audit_timestamp,label,selector,valid,found,count,tag,id,className,text,href,role,ariaLabel,dataTestId,meta,bestSelector,selectorCandidates,error
knownSelectorResults,1,0.1.0,https://app.gohighlevel.com/v2/location/32I2I26T8CHTnRx8K9Zb/conversations/conversations/qDTd0ylnQKWRIGg1Hwjv?category=team-inbox&tab=unread,TBCL,2026-05-26T19:26:41.976Z,,#sb_dashboard,True,True,1,,,,Dashboard,,,,,,,,
knownSelectorResults,2,0.1.0,https://app.gohighlevel.com/v2/location/32I2I26T8CHTnRx8K9Zb/conversations/conversations/qDTd0ylnQKWRIGg1Hwjv?category=team-inbox&tab=unread,TBCL,2026-05-26T19:26:41.976Z,,#sb_conversations,True,True,1,,,,Conversations,,,,,,,,
knownSelectorResults,3,0.1.0,https://app.gohighlevel.com/v2/location/32I2I26T8CHTnRx8K9Zb/conversations/conversations/qDTd0ylnQKWRIGg1Hwjv?category=team-inbox&tab=unread,TBCL,2026-05-26T19:26:41.976Z,,#sb_calendars,True,True,1,,,,Calendars,,,,,,,,
knownSelectorResults,4,0.1.0,https://app.gohighlevel.com/v2/location/32I2I26T8CHTnRx8K9Zb/conversations/conversations/qDTd0ylnQKWRIGg1Hwjv?category=team-inbox&tab=unread,TBCL,2026-05-26T19:26:41.976Z,,#sb_contacts,True,True,1,,,,Contacts,,,,,,,,
knownSelectorResults,5,0.1.0,https://app.gohighlevel.com/v2/location/32I2I26T8CHTnRx8K9Zb/conversations/conversations/qDTd0ylnQKWRIGg1Hwjv?category=team-inbox&tab=unread,TBCL,2026-05-26T19:26:41.976Z,,#sb_opportunities,True,True,1,,,,Opportunities,,,,,,,,
knownSelectorResults,6,0.1.0,https://app.gohighlevel.com/v2/location/32I2I26T8CHTnRx8K9Zb/conversations/conversations/qDTd0ylnQKWRIGg1Hwjv?category=team-inbox&tab=unread,TBCL,2026-05-26T19:26:41.976Z,,#sb_payments,True,True,1,,,,Payments,,,,,,,,
knownSelectorResults,7,0.1.0,https://app.gohighlevel.com/v2/location/32I2I26T8CHTnRx8K9Zb/conversations/conversations/qDTd0ylnQKWRIGg1Hwjv?category=team-inbox&tab=unread,TBCL,2026-05-26T19:26:41.976Z,,#sb_email-marketing,True,True,1,,,,Marketing,,,,,,,,
knownSelectorResults,8,0.1.0,https://app.gohighlevel.com/v2/location/32I2I26T8CHTnRx8K9Zb/conversations/conversations/qDTd0ylnQKWRIGg1Hwjv?category=team-inbox&tab=unread,TBCL,2026-05-26T19:26:41.976Z,,#sb_automation,True,True,1,,,,Automation,,,,,,,,
knownSelectorResults,9,0.1.0,https://app.gohighlevel.com/v2/location/32I2I26T8CHTnRx8K9Zb/conversations/conversations/qDTd0ylnQKWRIGg1Hwjv?category=team-inbox&tab=unread,TBCL,2026-05-26T19:26:41.976Z,,#sb_sites,True,True,1,,,,Sites,,,,,,,,
knownSelectorResults,10,0.1.0,https://app.gohighlevel.com/v2/location/32I2I26T8CHTnRx8K9Zb/conversations/conversations/qDTd0ylnQKWRIGg1Hwjv?category=team-inbox&tab=unread,TBCL,2026-05-26T19:26:41.976Z,,#sb_memberships,True,True,1,,,,Memberships,,,,,,,,
