ZoomInfo Company ID,Company Name,Website,Founded Year,Company HQ Phone,Fax,Ticker,Revenue (in 000s USD),Revenue Range (in USD),Employees,Employee Range,SIC Code 1,SIC Code 2,SIC Codes,NAICS Code 1,NAICS Code 2,NAICS Codes,Primary Industry,Primary Sub-Industry,All Industries,All Sub-Industries,Industry Hierarchical Category,Secondary Industry Hierarchical Category,Alexa Rank,ZoomInfo Company Profile URL,LinkedIn Company Profile URL,Facebook Company Profile URL,Twitter Company Profile URL,Ownership Type,Business Model,Certified Active Company,Certification Date,Total Funding Amount (in 000s USD),Recent Funding Amount (in 000s USD),Recent Funding Round,Recent Funding Date,Recent Investors,All Investors,Company Street Address,Company City,Company State,Company Zip Code,Company Country,Full Address,Number of Locations,Company Is Acquired,Company ID (Ultimate Parent),Entity Name (Ultimate Parent),Company ID (Immediate Parent),Entity Name (Immediate Parent),Relationship (Immediate Parent),Query Name
"343506850","West Coast Group Benefits","www.westcoastbenefits.com","2002","(858) 521-0025","(858) 521-0160","","5363","$5 mil. - $10 mil.","15","Employees.10to19","6411","641","64;641;6411","524298","52429","52;524;5242;52429;524298","Insurance","","Insurance","","insurance","","17653379","https://app.zoominfo.com/#/apps/profile/company/343506850","http://www.linkedin.com/company/west-coast-group-benefits","http://www.facebook.com/westcoastgroupbenefits","","Private","B2B","Yes","June 22, 2024","0","0","","","","","10809 Thornmint Rd Ste 100","San Diego","California","92127","United States","10809 Thornmint Rd Ste 100, San Diego, California, 92127, United States","1","","","","","","","groupbenefits"
"404880463","Group Benefits Partners","www.groupbenefitspartners.com","2010","(708) 531-1756","","","6327","$5 mil. - $10 mil.","18","Employees.10to19","6411","641","64;641;6411","524210","52421","52;524;5242;52421;524210","Insurance","","Insurance","","insurance","","16881018","https://app.zoominfo.com/#/apps/profile/company/404880463","http://www.linkedin.com/company/group-benefits-partners","http://www.facebook.com/groupbenefitspartners","http://www.twitter.com/gbpartners","Private","B2C","Yes","December 08, 2021","0","0","","","","","916 E Schirra Dr","Palatine","Illinois","60074","United States","916 E Schirra Dr, Palatine, Illinois, 60074, United States","1","","","","","","","groupbenefits"
"446970567","jweinland Group Benefits","www.jweinlandbenefits.com","2011","(318) 674-7098","","","3988","$1 mil. - $5 mil.","14","Employees.10to19","6411","641","64;641;6411","524210","52421","52;524;5242;52421;524210","Insurance","","Insurance","","insurance","","","https://app.zoominfo.com/#/apps/profile/company/446970567","","http://www.facebook.com/jweinlandbenefits","","Private","B2B","Yes","April 12, 2023","0","0","","","","","806 Benefits","Shreveport","Louisiana","71105","United States","806 Benefits, Shreveport, Louisiana, 71105, United States","2","","","","","","","groupbenefits"
"33130018","Midwest Group Benefits","www.midwestbenefits.com","1984","(563) 382-9611","","","5832","$5 mil. - $10 mil.","12","Employees.10to19","6411","641","64;641;6411","524210","52421","52;524;5242;52421;524210","Insurance","","Insurance","","insurance","","9572468","https://app.zoominfo.com/#/apps/profile/company/33130018","http://www.linkedin.com/company/midwest-group-benefits-inc.","http://www.facebook.com/midwestgroupbenefits","","Private","B2B","Yes","March 04, 2024","0","0","","","","","2316 Sweet Parkway Rd","Decorah","Iowa","52101","United States","2316 Sweet Parkway Rd, Decorah, Iowa, 52101, United States","3","","359064712","AssuredPartners Inc","359064712","AssuredPartners Inc","Subsidiary","groupbenefits"
"447827406","Group Benefits Consulting","www.groupbenefitsconsulting.com","","(201) 470-9379","","","1516","$1 mil. - $5 mil.","5","Employees.5to9","8748","874","87;874;8748;73;737;738","541618","54161","54;541;5416;54161;541618","Business Services","Management Consulting","Business Services","Management Consulting","bizservice","bizservice.consulting","","https://app.zoominfo.com/#/apps/profile/company/447827406","","http://www.facebook.com/groupbenefitsconsulting","","Private","B2C","Yes","April 29, 2022","0","0","","","","","18 Kaufman Dr","Westwood","New Jersey","07675","United States","18 Kaufman Dr, Westwood, New Jersey, 07675, United States","1","","","","","","","groupbenefits"
"463322854","Group Benefits Agency","www.ohiogroupins.com","1978","(614) 785-1991","(614) 389-4896","","5425","$5 mil. - $10 mil.","18","Employees.10to19","6411","641","64;641;6411","524298","524210","52;524;5242;52429;524298;52421;524210","Insurance","","Insurance","","insurance","","","https://app.zoominfo.com/#/apps/profile/company/463322854","http://www.linkedin.com/company/group-benefits-agency","","http://www.twitter.com/kilpatrickcos","Private","B2B","Yes","August 21, 2019","0","0","","","","","1105 Schrock Rd Ste 500","Columbus","Ohio","43229","United States","1105 Schrock Rd Ste 500, Columbus, Ohio, 43229, United States","2","","","","","","","groupbenefits"
"357109907","Group Benefits Northwest","www.groupbenefitsnw.com","1982","(360) 419-9999","","","2545","$1 mil. - $5 mil.","7","Employees.5to9","6411","641","64;641;6411","524210","52421","52;524;5242;52421;524210","Insurance","","Insurance","","insurance","","","https://app.zoominfo.com/#/apps/profile/company/357109907","http://www.linkedin.com/company/benefits-group-northwest-inc","http://www.facebook.com/groupbenefitsnw","http://www.twitter.com/nw_benefits","Private","B2C","Yes","June 24, 2022","0","0","","","","","720 Main St Ste 221","Mount Vernon","Washington","98273","United States","720 Main St Ste 221, Mount Vernon, Washington, 98273, United States","3","","","","","","","groupbenefits"
"34951181","Direct Access Group Benefits","www.directaccessbenefits.com","1995","(914) 276-6000","(914) 401-9319","","4830","$1 mil. - $5 mil.","15","Employees.10to19","6411","641","64;641;6411","524210","52421","52;524;5242;52421;524210","Insurance","","Insurance","","insurance","","13889358","https://app.zoominfo.com/#/apps/profile/company/34951181","http://www.linkedin.com/company/direct-access-group-benefits-inc-","http://www.facebook.com/directaccessgroupbenefitsinc","","Private","B2C","Yes","May 09, 2024","0","0","","","","","189 Rte 100","Somers","New York","10589","United States","189 Rte 100, Somers, New York, 10589, United States","1","","","","","","","groupbenefits"
"57295939","Rigby Group Benefits","www.rigbygroup.com","1995","(630) 236-7300","","","4540","$1 mil. - $5 mil.","18","Employees.10to19","6411","641","64;641;6411","524210","52421","52;524;5242;52421;524210","Insurance","","Insurance","","insurance","","","https://app.zoominfo.com/#/apps/profile/company/57295939","","","","Private","B2C","No","","0","0","","","","","3697 Darlene Ct","Aurora","Illinois","60504","United States","3697 Darlene Ct, Aurora, Illinois, 60504, United States","1","","","","","","","groupbenefits"
"405622832","HSA Group Benefits","www.hsallc.net","2004","(866) 906-1602","","","5384","$5 mil. - $10 mil.","19","Employees.10to19","6411","641","64;641;6411","524210","52421","52;524;5242;52421;524210","Insurance","","Insurance","","insurance","","12967872","https://app.zoominfo.com/#/apps/profile/company/405622832","","","","Private","B2C","Yes","November 04, 2021","0","0","","","","","100 Corporate Dr","Spartanburg","South Carolina","29303","United States","100 Corporate Dr, Spartanburg, South Carolina, 29303, United States","1","","","","","","","groupbenefits"
